SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,7,13169,3639,28,38.2,69.75,81.5,93.25,130.95
S,7,1320,3092,26,34.5,40.25,47.5,59,69
S,7,13218,12900,24,21,23,23.5,25,27.849999999999998
S,7,13236,1829,37,23.8,27,34,49,63.199999999999996
S,7,1324,1339,21,22,27,41,52,73
S,7,1328,1324,26,28.5,32.5,58.5,87.75,116
S,7,1331,1348,25,34.6,41,46,84,115.39999999999999
S,7,13327,726,26,22.5,28,32,34,53.25
S,7,13328,13329,52,40,44.75,48,51,71.34999999999991
S,7,13329,13330,52,24,26,28,31.25,73
S,7,1335,1355,21,21,22,24,26,28
S,7,1339,1335,26,27,29,32,36.25,39
S,7,13467,689,52,52,54,56,61.75,69.44999999999999
S,7,1348,8198,25,32.4,52,55,60,64.8
S,7,13591,13166,26,51.75,62.5,86.5,112,126.75
S,7,13594,13090,26,57.5,62.25,69,80.5,94
S,7,13596,5499,26,30.75,37.5,51,67.5,78
S,7,13651,5051,24,21.150000000000002,23.75,27,34.5,49.09999999999999
S,7,13809,13089,25,53.400000000000006,62,66,86,98.8
S,7,13882,2633,39,31.9,36,38,40,46
S,7,156,172,26,42,47.25,52.5,64.75,94
S,7,1571,1579,25,23,25,27,27,28.799999999999997
S,7,1576,1571,25,29.200000000000003,40,64,83,109.79999999999998
S,7,1579,1331,25,28.6,35,46,57,67.8
S,7,172,177,26,34.25,36.25,38.5,41,46
S,7,174,12762,26,36.5,50.25,63,75.5,82.25
S,7,1775,12947,37,21.799999999999997,24,26,29,31
S,7,1778,12904,36,22.75,24.75,27.5,31,33
S,7,1792,1794,26,25.5,28,42.5,54.25,61.5
S,7,1793,7656,24,46.85000000000001,89.25,101.5,108.5,122.55
S,7,1794,12946,26,23.75,28,30.5,32,37.25
S,7,1798,1793,36,31,34.75,39,46,69.25
S,7,1803,1778,30,21,22,23,25,28.19999999999999
S,7,1808,1810,34,21,23,24.5,25.75,34.69999999999999
S,7,1811,1807,36,26,28,29.5,34,37
S,7,1815,12948,37,25,28,31,35,39.199999999999996
S,7,1816,1819,37,22,23,26,31,61.39999999999995
S,7,1818,1815,37,31.8,35,39,42,48
S,7,1819,1821,38,24,26,29,33,54.449999999999996
S,7,1823,1827,38,22.849999999999998,26,27,29,33.449999999999996
S,7,1824,1818,36,37.5,45.75,51,69.5,97.25
S,7,1826,1824,36,25,28.75,32,34,41
S,7,1827,6427,38,22.849999999999998,25,28,31,69.15
S,7,1829,1826,25,21,22,23,24,25.799999999999997
S,7,184,4326,25,42.400000000000006,56,70,136,167
S,7,189,156,26,48,52.25,55.5,57.75,62
S,7,193,203,26,23,26,27.5,30.75,32.75
