SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
19SEP2017:00:00:00,W,402,1650,3105,4,1,0,7856,62018,2642,62423,62203,62223,3,-122.66326000000001,45.512923333,20,0
19SEP2017:00:00:00,W,402,1820,3105,4,1,0,7856,79142,2642,79287,79161,79197,3,-122.6587217,45.512828333,36,0
20SEP2017:00:00:00,W,402,1650,3540,4,1,8,7856,62007,2642,62257,62023,62069,3,-122.65874170000001,45.512834999999995,46,0
20SEP2017:00:00:00,W,402,1820,3540,4,1,5,7856,79222,2642,79349,79235,79267,3,-122.65874,45.51278,32,0
21SEP2017:00:00:00,W,402,1650,3108,4,1,10,7856,61968,2642,62147,61974,61994,3,-122.6586783,45.512056666999996,20,0
21SEP2017:00:00:00,W,402,1820,3108,4,1,7,7856,79209,2642,79355,79224,79273,3,-122.6587233,45.512834999999995,49,0
22SEP2017:00:00:00,W,402,1820,3167,4,1,9,7856,79280,2642,79428,79294,79344,3,-122.65874,45.512833333,50,0
22SEP2017:00:00:00,W,402,1650,3167,4,1,11,7856,62045,2642,62220,62051,62062,3,-122.6586967,45.511986666999995,11,0
25SEP2017:00:00:00,W,402,1110,2621,4,1,24,7856,24691,2642,24836,24708,24755,3,-122.6587367,45.512848333,47,0
25SEP2017:00:00:00,W,402,1820,3324,4,1,8,7856,79141,2642,79280,79158,79196,3,-122.65871670000001,45.512840000000004,38,0
25SEP2017:00:00:00,W,402,1820,3324,4,1,8,7856,79141,2642,79280,79224,79236,3,-122.66056,45.512945,12,0
26SEP2017:00:00:00,W,402,1110,2703,4,1,27,7856,24835,2642,25041,24849,24893,3,-122.6586783,45.512613333000004,44,0
26SEP2017:00:00:00,W,402,1650,3142,4,1,6,7856,61956,2642,62169,61979,61999,3,-122.65873329999998,45.512746666999995,20,0
26SEP2017:00:00:00,W,402,1820,3142,4,1,7,7856,79108,2642,79286,79117,79137,3,-122.65871000000001,45.512058333,20,0
26SEP2017:00:00:00,W,402,1820,3142,4,1,7,7856,79108,2642,79286,79155,79208,3,-122.6587533,45.512836666999995,53,0
27SEP2017:00:00:00,W,402,1110,2713,4,1,29,7856,24750,2642,24967,24774,24823,3,-122.6587217,45.512785,49,0
27SEP2017:00:00:00,W,402,1650,3120,4,1,8,7856,62013,2642,62216,62031,62074,3,-122.65874170000001,45.512733333,43,0
28SEP2017:00:00:00,W,402,1650,3104,4,1,12,7856,62076,2642,62301,62090,62147,3,-122.65873500000001,45.512836666999995,57,0
28SEP2017:00:00:00,W,402,1820,3104,4,1,4,7856,79152,2642,79355,79166,79197,3,-122.65874170000001,45.512845,31,0
28SEP2017:00:00:00,W,402,1820,3104,4,1,4,7856,79152,2642,79355,79221,79237,3,-122.66008500000001,45.513026667,16,0
29SEP2017:00:00:00,W,402,1110,2709,4,1,17,7856,24771,2642,24971,24786,24826,3,-122.658745,45.512831667,40,0
29SEP2017:00:00:00,W,402,1820,3136,4,1,0,7856,79354,2642,79494,79367,79415,3,-122.65873500000001,45.512831667,48,0
29SEP2017:00:00:00,W,402,1650,3136,4,1,0,7856,62010,2642,62215,62031,62072,3,-122.65873,45.512826667,41,0
01SEP2017:00:00:00,W,403,1690,3539,4,1,5,7856,65735,2642,65981,65744,65767,3,-122.65870670000001,45.512051667,23,0
01SEP2017:00:00:00,W,403,1690,3539,4,1,5,7856,65735,2642,65981,65785,65831,3,-122.6587467,45.512825,46,0
01SEP2017:00:00:00,W,403,1850,3539,4,1,8,7856,83202,2642,83344,83224,83259,3,-122.65874,45.512826667,35,0
01SEP2017:00:00:00,W,403,1140,3546,4,1,31,7856,26548,2642,26788,26554,26566,3,-122.65868,45.512051667,12,0
